sgschooling_name,moe_school_name
ADMIRALTY,ADMIRALTY PRIMARY SCHOOL
AHMAD IBRAHIM,AHMAD IBRAHIM PRIMARY SCHOOL
AI TONG,AI TONG SCHOOL
ALEXANDRA,ALEXANDRA PRIMARY SCHOOL
ANCHOR GREEN,ANCHOR GREEN PRIMARY SCHOOL
ANDERSON,ANDERSON PRIMARY SCHOOL
ANG MO KIO,ANG MO KIO PRIMARY SCHOOL
ANGLO-CHINESE (JUNIOR),ANGLO-CHINESE SCHOOL (JUNIOR)
ANGLO-CHINESE (PRIMARY),ANGLO-CHINESE SCHOOL (PRIMARY)
ANGSANA,ANGSANA PRIMARY SCHOOL
BEACON,BEACON PRIMARY SCHOOL
BEDOK GREEN,BEDOK GREEN PRIMARY SCHOOL
BENDEMEER,BENDEMEER PRIMARY SCHOOL
BLANGAH RISE,BLANGAH RISE PRIMARY SCHOOL
BOON LAY GARDEN,BOON LAY GARDEN PRIMARY SCHOOL
BUKIT PANJANG,BUKIT PANJANG PRIMARY SCHOOL
BUKIT TIMAH,BUKIT TIMAH PRIMARY SCHOOL
BUKIT VIEW,BUKIT VIEW PRIMARY SCHOOL
CANBERRA,CANBERRA PRIMARY SCHOOL
CANOSSA CATHOLIC,CANOSSA CATHOLIC PRIMARY SCHOOL
CANTONMENT,CANTONMENT PRIMARY SCHOOL
CASUARINA,CASUARINA PRIMARY SCHOOL
CATHOLIC HIGH,CATHOLIC HIGH SCHOOL
CEDAR,CEDAR PRIMARY SCHOOL
CHANGKAT,CHANGKAT PRIMARY SCHOOL
CHIJ (KATONG),CHIJ (KATONG) PRIMARY
CHIJ (TOA PAYOH),CHIJ PRIMARY (TOA PAYOH)
CHIJ ST. NICHOLAS GIRLS’,CHIJ ST. NICHOLAS GIRLS' SCHOOL
CHONGFU,CHONGFU SCHOOL
CHONGZHENG,CHONGZHENG PRIMARY SCHOOL
CHUA CHU KANG,CHUA CHU KANG PRIMARY SCHOOL
CLEMENTI,CLEMENTI PRIMARY SCHOOL
